192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002586
192.168.202.1, 2017-02-04 20:34:11, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000422
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/default/site, HTTP/1.1, 303, 0.041427
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/default/index, HTTP/1.1, 200, 0.029493
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000421
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000951
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003370
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.006786
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000420
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000529
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000473
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000814
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000399
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001819
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000979
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000466
192.168.202.1, 2017-02-04 20:34:15, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000475
